微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
HjF5ItAl1,[置顶]#抑郁症[超话]#屏幕前的那个人虽然我不认识你 但我想祝你坚强 祝你可爱 祝你漂亮 祝你一生热血 一生被爱  原图 ,,http://wx4.sinaimg.cn/large/007dQV5jly1g0t3azm2vqj30j60nyta3.jpg,无,无,2019-03-06 15:08,抑郁症超话,24875,2581,6601
IxrYSBbbS,她以另外一种方式回来了。  ,,无,无,无,2020-03-07 06:14,iPhone客户端,132091,8707,9077
HzYhhCzd0,分享图片  原图 ,,http://wx1.sinaimg.cn/large/007dQV5jly1g493gi7thlj30yi15d1kx.jpg,无,无,2019-06-21 21:23,iPhone客户端,24547,598,1337
Hz49Cz3M8,#抑郁症[超话]# 努力活下去要相信会有奇迹答应我活下去活下去替我活下去替我去吃好吃的去旅行去结婚生子幸福活下去替我看每天的日出替我好好活着活着就是希望活着  ,,无,无,无,2019-06-15 22:31,抑郁症超话,5179,124,273
HyUh9dlF6,#抑郁症[超话]# 嘿  ,,无,无,无,2019-06-14 21:22,抑郁症超话,2773,206,438
HvIHbBJOn,#抑郁症[超话]# 小可爱们我要出去旅行啦，好远的地方啊，应该要好久好久才能再见面了呀，你们好好的呀，下次见面的时候，给我讲一讲你们身边很温暖很开心的事啊，我超喜欢你们的，虽然舍不得，但是要出发啦，你们加油哦，我等你们给我讲开心的事啊！*ଘ(੭*ˊᵕˋ)੭* ੈ✩‧₊˚  原图 ,,http://wx4.sinaimg.cn/large/007dQV5jly1g3crt3xffcj30j60j6t9o.jpg,无,无,2019-05-24 22:22,抑郁症超话,2873,155,544
HvIxzgPZu,#抑郁症[超话]#  如果你爱我，如果你爱我。。。我的婚纱，怕是到死都不会穿了。。。 努力做个小太阳的晨小晨的微博视频  ,,无,"http://f.us.sinaimg.cn/002tz7OElx07u6UQ0KYw01041200fLQc0E010.mp4?label=mp4_hd&template=480x852.24.0&Expires=1598712217&ssig=xTff3smyBF&KID=unistore,video",无,2019-05-24 21:58,抑郁症超话,1862,26,90
HvycWpz8d,#抑郁症[超话]#  梦到奶奶了，在老家农村的老房子里，我在她怀里，听她哼着不知名的曲儿，看着窗外晾衣绳上的燕子。如果可以，真的不想醒来，我想奶奶了。  ,,无,无,无,2019-05-23 19:40,抑郁症超话,2026,18,75
Hvf66e9F7,#抑郁症[超话]#  好多人说我矫情呀，但是我又没有矫情给你看，不喜欢你就屏蔽我，不用跟我说那些大道理或者难听的，可能我没有你们年级大，但是我经历过的却一定是你们没经历过的，所以，请不要对我指手画脚好不？  原图 ,,http://wx2.sinaimg.cn/large/007dQV5jly1g39550s5bqj30j60j6jsi.jpg,无,无,2019-05-21 19:01,抑郁症超话,1954,20,125
Hv7mJ0C66,#祁月笙[超话]#  不敢许愿啦，不想祁甜甜被我连累挨骂呐，但是我永远喜欢祁月笙，永远忠于祁月笙呀。  原图 ,,http://wx4.sinaimg.cn/large/007dQV5jly1g38704s5dej30c80bawf7.jpg,无,无,2019-05-20 23:20,祁月笙超话,1656,0,71
Hv7j6rFGB,#剑网3[超话]# 我希望我还能看到这盛世，希望自己还能回到这个江湖，我知道它现在可能有很多很多缺点，但是我还想回去，哪怕是和大家一起吐槽一起骂它。。。你们现在嫌弃的一切，都是我做梦都想拥有的。。。  ,,无,无,无,2019-05-20 23:11,剑网3超话,3981,105,716
Hv7dK3Ks7,#抑郁症[超话]#  看了明教盒子，实名心动，但是现在的自己也穿不了了，不知道自己能不能等到五毒盒子了。。  原图 ,,http://wx3.sinaimg.cn/large/007dQV5jly1g386d4ugf4j30s41e0k7n.jpg,无,无,2019-05-20 22:58,抑郁症超话,1323,32,176
Hv1q5BSS2,#抑郁症[超话]# 我也想过520  ,,无,无,无,2019-05-20 08:12,抑郁症超话,877,5,247
HuY1n2W7A,#抑郁症[超话]#  一直在告诉自己，不疼的，没事的，骨穿放化疗都挺过来了，被医生放弃我也活过来了，现在这样不算什么的，可是今天突然感觉挺不住了，疼，真的疼。  原图 ,,http://wx3.sinaimg.cn/large/007dQV5jly1g371r0o9olj308308w74p.jpg,无,无,2019-05-19 23:33,抑郁症超话,983,13,174
HuNUkBAaG,#抑郁症[超话]# 我今年二十二岁，我只想活下去。  原图 ,,http://wx3.sinaimg.cn/large/007dQV5jly1g35t3mrqcjj30j60cl40q.jpg,无,无,2019-05-18 21:48,抑郁症超话,2144,90,459
HuEZYhmxC,#抑郁症[超话]# 我问二哥，如果火化以后没烧成灰的骨头怎么办，我哥想了一下，认真的回我“敲碎吧？”我  原图 ,,http://wx3.sinaimg.cn/large/007dQV5jly1g34prntm9ej30u00xx455.jpg,无,无,2019-05-17 23:07,抑郁症超话,1000,12,104
HuvC0mGxT,#抑郁症[超话]#  如果把我埋在土里，秋天的时候是不是就会长出好多我了？可是遗憾的是，我只能被撒在海里。  原图 ,,http://wx1.sinaimg.cn/large/007dQV5jly1g33kbgpqgdj3073073dg0.jpg,无,无,2019-05-16 23:13,抑郁症超话,1120,35,160
HubPjoS2n,#抑郁症[超话]#  他卖了号，我也就再也做不成他的小可爱了，他也不会骑着高头大马去苗疆接我回雁门关了，都是骗我的，全都是骗我的，我还在坚持什么，还努力什么啊！！！！哈哈哈原来都是假的！！所以才会不回我对么！！说什么等我好了，说什么等我回家。。。哈哈。。。够了，够了，我累了  ,,无,无,无,2019-05-14 20:51,抑郁症超话,1064,9,227
HubJNtVHl,#抑郁症[超话]#  无希望就不失望，对不起，我累了，做不成小太阳了。  ,,无,无,无,2019-05-14 20:38,抑郁症超话,648,1,74
Hu78psUQF,#抑郁症[超话]#   感谢你赠我一场空欢喜，我们有过的美好回忆，让泪水染得模糊不清了，偶尔想起，记忆犹新，就像当初，我爱你，没有什么目的。  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/007dQV5jly1g30k6z55ppj30n814aq5m.jpg,http://ww2.sinaimg.cn/large/007dQV5jly1g30k6xraapj30o2137acu.jpg",无,无,2019-05-14 08:54,抑郁症超话,791,8,225
Hu2KKFjAL,#抑郁症[超话]# 嘿嘿惊不惊喜刺不刺激意不意外我又回来了  原图 ,,http://wx4.sinaimg.cn/large/007dQV5jly1g300xbg4d6j30j60j6q55.jpg,无,无,2019-05-13 21:45,抑郁症超话,792,19,238
Ht8bUd2FN,#抑郁症[超话]#        人最大的绝望，从来都不是历尽痛苦与悲伤。而是在每次失望过后，却总觉得自己还有希望。  原图 ,,http://wx2.sinaimg.cn/large/007dQV5jly1g2t37trqb5j30ia0o2dig.jpg,无,无,2019-05-07 21:46,抑郁症超话,644,10,101
Ht7Pmf87e,#抑郁症[超话]#  醒来看到他两天前给我发的消息“你怎么回事儿？”  不死心的又回复了，然后就又是石沉大海的结果。为什么要给我希望呢，直接不理我不好么，这样反反复复真的很累啊。  原图 ,,http://wx4.sinaimg.cn/large/007dQV5jly1g2t1m1xu10j30k00k0jsb.jpg,无,无,2019-05-07 20:50,抑郁症超话,565,1,57
Ht2DodeDw,#抑郁症[超话]#       不要轻视自己的光啊，说不定照亮着谁的天空。而那些天空，也会因为有你的存在，而日渐明亮的。  原图 ,,http://wx3.sinaimg.cn/large/007dQV5jly1g2seoob1ohj30j60j6acp.jpg,无,无,2019-05-07 07:37,抑郁症超话,919,25,96
HsYVqpLm5,#抑郁症[超话]# 我又醒啦  原图 ,,http://wx1.sinaimg.cn/large/007dQV5jly1g2ryb7rsq2j30sg0qktb2.jpg,无,无,2019-05-06 22:10,抑郁症超话,1010,22,488
